selecao,confederacao,total_jogos_ciclo,media_gols_marcados_ciclo,media_gols_marcados_ult15,elo_medio_adv_ciclo,fase_ultima_copa,media_gols_ultimas2_copas,valor_mercado_milhoes,previsao
Uruguay,CONMEBOL,38,1.394736842105263,0.9333333333333333,1284.9098514048628,1,1.0333333333333332,419.23,1.4179092798846935
Canada,CONCACAF,41,1.4390243902439024,1.6,1234.9746983850262,1,0.6666666666666666,,1.340321924939066
Iran,AFC,37,2.2432432432432434,1.8,1083.135502634572,1,1.0,,1.3370352957401423
Sweden,UEFA,35,2.0285714285714285,2.1333333333333333,1157.3702329686864,0,1.2,495.98,1.3082320274187418
Australia,AFC,36,1.9166666666666667,1.6666666666666667,1151.7449002757648,2,0.8333333333333333,,1.3056988529070384
South Korea,AFC,39,1.9487179487179487,1.6,1163.1833594360032,2,1.125,118.8,1.2470061139266204
Paraguay,CONMEBOL,32,0.90625,1.2666666666666666,1320.1980845567687,0,0.0,123.95,1.2339942649595477
Tunisia,CAF,44,1.4318181818181819,1.8666666666666667,1060.6064241576385,1,1.0,,1.2150858097447097
United States,CONCACAF,52,1.9423076923076923,1.8,1240.2123372729602,2,0.75,169.7,1.1852975205160816
Turkey,UEFA,37,1.7567567567567568,2.1333333333333333,1239.9723453536913,0,0.0,508.2,1.1830248710968077
Morocco,CAF,48,2.0833333333333335,1.7333333333333334,1075.2081933322527,5,0.7619047619047619,435.55,1.1697312391341894
Mexico,CONCACAF,54,1.4814814814814814,1.0666666666666667,1243.6056299675765,1,0.7083333333333333,142.1,1.1139537145578546
Panama,CONCACAF,51,1.5686274509803921,1.8,1167.9973264809687,0,0.6666666666666666,,1.077604264437308
Ghana,CAF,34,1.3529411764705883,1.6666666666666667,1055.5900475308204,1,1.6666666666666667,254.85,1.0746573508740433
Uzbekistan,AFC,40,1.6,1.3333333333333333,1130.2870448560777,0,0.0,,1.071614108427029
Czech Republic,UEFA,35,1.8857142857142857,1.8,1088.1676518898435,0,0.0,115.9,1.0549701481237728
Ivory Coast,CAF,43,1.8372093023255813,1.8666666666666667,1050.255756218768,0,0.0,370.8,1.0485142717027012
Algeria,CAF,47,2.2127659574468086,2.2,1036.6888370102572,0,0.0,229.3,1.027118193090097
Egypt,CAF,45,1.6666666666666667,1.1333333333333333,1057.926332520647,0,0.6666666666666666,138.5,0.9435990716644522
Scotland,UEFA,35,1.457142857142857,1.4666666666666666,1230.71453057284,0,0.0,214.45,0.9308730030341956
Curaçao,CONCACAF,32,1.71875,1.9333333333333333,1020.4404918243101,0,0.0,,0.9279930511427648
Jordan,AFC,49,1.7346938775510203,1.6666666666666667,1129.9301457974175,0,0.0,,0.8817508976752124
Haiti,CONCACAF,32,2.21875,1.6,1004.3337743201447,0,0.0,,0.866817106799626
Cape Verde,CAF,38,1.2105263157894737,1.4666666666666666,1060.6118539899962,0,0.0,,0.8499317125236909
DR Congo,CAF,43,1.2325581395348837,1.6,1054.8544477589567,0,0.0,134.05,0.7974646090404398
Bosnia and Herzegovina,UEFA,31,1.2258064516129032,1.6666666666666667,1145.2003812929859,0,0.0,,0.7928536424371029
Qatar,AFC,48,1.5416666666666667,1.2,1102.3413529266159,1,0.3333333333333333,,0.7494098407406034
Saudi Arabia,AFC,54,1.1851851851851851,1.0666666666666667,1120.1674424740468,1,0.8333333333333333,,0.7233342332889854
South Africa,CAF,47,1.4680851063829787,1.4666666666666666,1030.5799736848599,0,0.0,,0.7184309342044737
Iraq,AFC,46,1.4782608695652173,1.1333333333333333,1096.4686928838114,0,0.0,,0.7165648836396539
